Postal,State,Pop,P_Pop,Customers,Cust_Offset
AK,Alaska,733391,0.0022,4,0
AL,Alabama,5024279,0.0152,30,0
AR,Arkansas,3011524,0.0091,18,0
AZ,Arizona,7151502,0.0216,43,0
CA,California,39538223,0.1193,239,0
CO,Colorado,5773714,0.0174,35,0
CT,Connecticut,3605944,0.0109,22,0
DC,District of Columbia,689545,0.0021,4,0
DE,Delaware,989948,0.0030,6,0
FL,Florida,21538187,0.0650,130,0
GA,Georgia,10711908,0.0323,65,0
HI,Hawaii,1455271,0.0044,9,0
IA,Iowa,3190369,0.0096,19,0
ID,Idaho,1839106,0.0055,11,0
IL,Illinois,12812508,0.0387,77,0
IN,Indiana,6785528,0.0205,41,0
KS,Kansas,2937880,0.0089,18,0
KY,Kentucky,4505836,0.0136,27,0
LA,Louisiana,4657757,0.0141,28,0
MA,Massachusetts,7029917,0.0212,42,0
MD,Maryland,6177224,0.0186,37,0
ME,Maine,1362359,0.0041,8,0
MI,Michigan,10077331,0.0304,61,0
MN,Minnesota,5706494,0.0172,34,0
MO,Missouri,6154913,0.0186,37,0
MS,Mississippi,2961279,0.0089,18,0
MT,Montana,1084225,0.0033,7,0
NC,North Carolina,10439388,0.0315,63,0
ND,North Dakota,779094,0.0024,5,0
NE,Nebraska,1961504,0.0059,12,0
NH,New Hampshire,1377529,0.0042,8,0
NJ,New Jersey,9288994,0.0280,56,0
NM,New Mexico,2117522,0.0064,13,0
NV,Nevada,3104614,0.0094,19,0
NY,New York,20201249,0.0609,122,0
OH,Ohio,11799448,0.0356,71,0
OK,Oklahoma,3959353,0.0119,24,0
OR,Oregon,4237256,0.0128,26,0
PA,Pennsylvania,13002700,0.0392,78,0
RI,Rhode Island,1097379,0.0033,7,0
SC,South Carolina,5118425,0.0154,31,0
SD,South Dakota,886667,0.0027,5,0
TN,Tennessee,6910840,0.0209,42,0
TX,Texas,29145505,0.0879,176,0
UT,Utah,3271616,0.0099,20,0
VA,Virginia,8631393,0.0260,52,0
VT,Vermont,643077,0.0019,4,0
WA,Washington,7705281,0.0232,46,0
WI,Wisconsin,5893718,0.0178,36,0
WV,West Virginia,1793716,0.0054,11,0
WY,Wyoming,576851,0.0017,3,0
